ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
149,582.5,637.3,632.8,549.6,540.0
150,547.1,680.6,611.8,708.2,640.0
151,421.1,567.9,542.5,420.0,320.0
152,519.8,663.9,613.7,519.2,840.0
153,432.7,624.5,543.1,511.6,340.0
154,471.0,629.6,549.0,470.2,360.0
155,448.8,603.0,506.6,689.6,660.0
156,438.1,532.0,352.9,390.5,340.0
157,469.3,576.8,531.4,473.5,0.0
158,414.3,530.0,452.2,401.2,360.0
159,624.1,673.2,640.0,764.4,620.0
160,664.2,662.2,605.3,705.6,920.0
161,713.2,677.0,578.8,734.9,940.0
162,635.3,615.9,526.2,816.9,640.0
163,416.1,424.0,487.8,453.0,240.0
164,396.6,435.9,490.2,395.8,520.0
165,474.5,563.2,523.0,489.9,540.0
166,522.7,623.7,602.0,553.9,360.0
167,489.7,636.0,483.0,465.9,560.0
168,548.8,643.7,539.3,454.0,600.0
169,534.7,640.7,618.1,737.5,660.0
170,611.4,662.5,681.4,610.3,600.0
171,398.2,405.4,448.0,418.4,0.0
172,610.2,666.5,605.5,535.1,400.0
173,417.4,503.8,505.2,500.1,340.0
174,595.9,630.0,596.6,460.9,600.0
175,414.6,544.4,545.6,505.9,360.0
176,561.4,658.8,604.3,459.1,600.0
177,449.5,559.8,450.3,498.1,600.0
178,578.7,472.3,552.0,710.4,680.0
179,612.0,512.3,577.2,712.0,660.0
180,446.5,540.1,429.7,500.8,400.0
181,456.4,594.8,412.3,440.2,360.0
182,454.6,548.8,526.4,469.7,720.0
183,439.5,540.3,543.6,547.4,600.0
184,454.4,563.7,485.5,453.9,560.0
185,646.0,606.4,613.7,734.7,880.0
186,436.4,568.1,512.3,554.5,320.0
187,608.1,679.3,649.2,704.6,620.0
188,442.1,524.5,447.1,589.0,340.0
189,476.4,501.9,509.8,457.7,580.0
190,495.8,603.4,523.9,392.1,540.0
191,513.9,468.7,492.7,445.3,520.0
192,451.7,569.7,501.4,515.2,640.0
193,504.7,668.8,594.9,674.7,680.0
194,525.5,643.0,612.1,604.2,560.0
195,473.1,597.4,545.6,535.9,600.0
196,452.8,462.6,520.2,446.4,560.0
197,553.9,640.5,586.5,531.8,640.0
198,411.4,588.6,546.2,575.5,640.0
199,520.6,599.9,615.0,638.2,520.0
200,388.5,500.8,474.9,497.3,360.0
201,581.9,677.3,650.6,509.1,880.0
202,503.4,611.9,573.3,589.6,540.0
203,371.0,462.8,442.2,421.6,360.0
204,472.0,623.5,572.4,524.4,460.0
205,403.8,436.0,469.9,511.7,300.0
206,481.5,585.5,495.2,512.7,740.0
207,432.4,454.5,399.3,499.4,280.0
208,484.0,640.1,561.6,699.7,600.0
209,604.0,674.3,557.1,682.0,700.0
210,493.6,560.9,483.6,384.5,340.0
211,453.0,607.9,538.8,617.1,360.0
212,378.7,619.6,576.5,519.0,600.0
213,532.0,502.7,497.7,572.2,280.0
214,456.9,597.8,634.5,529.2,580.0
215,601.7,650.9,626.7,742.4,660.0
216,531.9,638.3,613.2,607.9,380.0
217,407.8,552.5,433.4,476.2,480.0
218,504.9,611.3,545.5,386.0,620.0
219,591.6,485.6,559.9,597.6,620.0
220,425.0,601.0,537.2,526.0,440.0
221,491.6,512.1,385.0,487.0,340.0
222,547.0,610.0,489.9,441.8,300.0
223,613.8,519.3,569.3,429.4,600.0
224,409.2,522.0,575.9,395.7,780.0
225,561.8,581.2,592.8,597.6,500.0
226,605.5,616.8,646.0,625.0,520.0
227,542.2,669.2,613.6,596.2,800.0
228,590.0,682.7,646.8,588.0,840.0
229,496.6,653.7,570.8,498.2,340.0
230,378.1,514.9,490.7,456.7,280.0
231,503.7,597.7,566.1,569.7,740.0
232,500.2,469.7,527.1,376.1,340.0
233,569.5,557.4,391.4,461.2,740.0
234,573.5,643.2,648.9,537.7,600.0
235,467.4,556.6,512.3,462.0,560.0
236,390.7,554.9,608.0,712.8,580.0
237,424.9,465.5,479.1,450.4,520.0
238,409.7,546.6,504.9,383.0,520.0
239,449.2,572.5,520.5,545.9,560.0
240,553.1,657.8,625.7,526.7,580.0
241,641.8,656.5,638.2,818.3,880.0
242,447.7,585.6,590.3,550.2,340.0
243,549.4,446.9,579.1,578.4,560.0
244,648.1,693.5,598.1,717.5,960.0
245,495.9,510.9,583.2,625.3,840.0
246,594.1,658.2,682.2,458.6,540.0
247,450.8,488.2,465.0,631.5,380.0
248,373.3,400.2,394.2,415.6,520.0
249,485.2,630.8,553.2,592.1,520.0
250,555.4,650.5,539.0,521.0,620.0
251,569.9,622.2,603.3,487.2,340.0
252,437.6,446.7,427.1,402.1,200.0
253,464.5,626.8,546.6,497.4,560.0
254,426.4,508.2,427.0,517.4,300.0
255,473.8,423.5,450.6,527.0,640.0
256,523.4,642.8,602.0,526.5,500.0
257,567.8,617.3,574.3,702.0,580.0
258,422.3,519.7,497.6,468.9,460.0
259,525.7,596.5,552.5,503.0,740.0
260,465.9,417.6,482.5,489.5,460.0
261,409.4,474.5,498.8,410.7,340.0
262,432.9,583.2,547.8,519.1,360.0
263,469.7,447.1,431.3,593.9,460.0
264,470.5,610.0,552.5,388.6,620.0
265,570.0,535.0,502.0,430.9,360.0
266,544.7,625.9,543.8,533.4,560.0
267,472.8,536.1,552.5,435.0,340.0
268,437.2,478.3,490.7,544.5,260.0
269,432.4,407.3,471.7,392.1,360.0
270,558.9,646.7,552.2,673.4,640.0
271,450.1,442.8,410.0,476.1,280.0
272,430.5,510.1,530.9,517.6,540.0
273,631.0,637.2,616.2,718.8,600.0
274,447.7,597.2,470.5,539.1,440.0
275,504.9,630.6,562.6,511.4,860.0
276,489.0,471.4,536.5,440.0,360.0
277,567.8,656.0,574.5,599.1,620.0
278,435.6,631.1,575.5,464.9,0.0
279,568.3,610.9,564.1,409.1,580.0
280,494.9,631.8,580.5,500.5,560.0
281,583.6,501.0,480.9,506.6,520.0
282,481.7,620.9,547.5,543.7,360.0
283,407.8,639.9,556.1,436.4,620.0
284,585.9,615.4,600.0,625.4,680.0
285,387.9,553.8,393.8,498.6,480.0
286,561.3,678.5,612.8,674.9,700.0
287,417.7,555.2,536.8,506.6,320.0
288,453.0,473.9,527.4,548.4,460.0
289,407.1,417.4,487.2,394.6,320.0
290,472.5,548.6,389.7,463.9,380.0
291,459.3,579.5,497.9,539.2,420.0
292,384.2,455.4,431.7,432.2,260.0
293,614.4,646.9,632.8,580.3,700.0
294,415.8,406.3,409.2,439.8,260.0
295,622.8,685.5,583.8,751.9,960.0
296,446.5,570.7,579.6,522.3,540.0
297,426.4,561.2,472.8,535.1,240.0
298,431.7,621.3,520.6,633.9,580.0
299,599.3,696.4,657.7,569.0,640.0
300,529.6,667.6,634.4,602.0,580.0
301,436.8,434.7,518.1,545.3,480.0
302,488.7,490.5,572.1,515.5,500.0
303,589.9,666.6,606.8,576.7,760.0
304,504.9,555.7,510.2,537.1,640.0
305,486.2,609.7,518.4,642.3,700.0
306,477.8,567.5,512.7,575.0,480.0
307,641.2,658.8,642.4,693.4,820.0
308,445.0,609.7,461.5,637.7,460.0
309,511.2,652.9,609.2,466.3,660.0
310,601.7,638.1,631.8,672.2,760.0
311,582.6,659.3,595.7,674.0,700.0
312,398.2,429.3,450.8,395.8,0.0
313,395.7,470.1,483.1,472.3,300.0
314,581.9,640.4,681.4,641.1,260.0
315,719.5,672.8,617.2,866.6,760.0
316,513.3,485.9,518.7,450.0,340.0
317,490.8,534.8,441.9,560.7,680.0
318,450.7,500.6,377.8,458.7,260.0
319,581.6,634.8,635.8,468.0,660.0
320,453.9,516.1,382.7,516.2,320.0
321,571.7,631.6,595.1,664.1,940.0
322,684.9,669.6,649.6,771.6,920.0
323,597.9,642.2,590.2,660.8,860.0
324,559.3,597.7,549.5,606.7,780.0
325,429.6,516.6,466.8,488.9,420.0
326,557.3,623.4,614.3,539.1,940.0
327,587.2,646.1,565.7,535.5,360.0
328,461.1,494.6,464.5,541.5,360.0
329,382.7,531.9,508.7,522.9,480.0
330,366.6,635.8,511.5,539.6,360.0
331,449.7,678.5,607.2,439.9,620.0
332,603.5,651.3,598.9,449.8,640.0
333,416.1,530.0,563.0,540.4,620.0
334,474.3,581.2,470.6,612.5,540.0
335,437.6,494.6,424.7,502.2,460.0
336,562.3,612.6,545.4,628.1,760.0
337,501.8,518.6,559.8,547.0,460.0
338,396.6,475.8,466.1,440.7,300.0
339,389.1,414.6,415.0,461.3,420.0
340,579.6,592.0,576.6,511.2,720.0
341,524.2,487.2,551.9,423.7,640.0
342,471.6,576.5,448.0,459.1,320.0
343,392.6,419.3,462.2,514.3,360.0
344,419.0,539.0,443.1,436.6,380.0
345,450.8,611.0,547.1,707.4,600.0
346,564.8,589.7,526.0,393.5,280.0
347,597.1,633.0,621.5,487.3,520.0
348,462.4,668.7,600.4,694.6,740.0
349,521.8,660.8,637.7,701.9,920.0
350,449.1,629.5,546.7,539.4,340.0
351,563.5,636.6,572.9,458.1,540.0
352,503.6,627.9,578.4,592.1,500.0
353,570.6,612.8,596.2,562.3,700.0
354,450.8,638.7,561.5,782.3,580.0
355,424.7,611.7,587.4,476.2,320.0
356,426.1,450.0,472.3,411.2,0.0
357,413.6,562.5,522.9,542.7,440.0
358,434.6,641.8,600.5,705.9,560.0
359,571.9,635.4,623.5,694.6,440.0
360,520.6,560.9,482.2,469.1,600.0
361,429.3,488.4,546.5,541.0,560.0
362,508.2,628.4,604.5,706.9,800.0
363,444.1,522.1,543.2,524.2,360.0
364,528.4,654.0,541.7,697.9,560.0
365,416.1,606.6,523.6,422.1,340.0
366,486.1,419.2,544.1,662.3,0.0
367,418.0,660.7,619.7,547.7,780.0
368,428.1,573.9,390.1,513.7,460.0
369,483.9,592.2,511.0,388.1,480.0
370,443.6,487.0,414.8,429.0,440.0
371,539.6,592.6,542.4,616.9,640.0
372,395.7,422.9,454.3,453.3,360.0
373,483.9,536.2,503.9,519.6,480.0
374,495.5,472.9,412.6,661.4,560.0
375,452.3,585.6,534.2,524.0,500.0
376,378.9,539.3,459.5,427.0,300.0
377,499.4,577.2,534.0,554.9,360.0
378,559.6,566.4,488.3,496.1,400.0
379,379.5,560.5,618.2,434.7,0.0
380,451.3,436.8,467.0,413.5,680.0
381,430.4,540.4,511.3,430.3,480.0
382,389.6,427.3,330.4,501.6,0.0
383,466.2,417.8,459.1,486.8,560.0
384,424.5,604.7,551.0,658.3,480.0
385,474.0,667.1,633.5,629.5,860.0
386,400.8,604.8,480.3,530.9,600.0
387,673.9,716.7,680.3,771.8,800.0
388,619.0,648.1,597.0,695.4,720.0
389,453.9,405.0,400.8,470.4,300.0
390,425.5,589.2,499.2,504.9,460.0
391,437.5,478.1,439.7,562.8,340.0
392,473.3,595.9,526.3,521.5,360.0
393,382.8,458.7,397.7,543.4,300.0
394,564.6,611.3,575.1,411.0,600.0
395,461.9,418.1,433.6,430.1,460.0
396,630.3,651.4,628.3,703.6,600.0
397,383.5,454.2,462.0,397.0,240.0
398,536.4,655.1,584.6,597.5,500.0
399,596.7,669.6,623.8,631.4,560.0
400,417.5,399.3,366.4,478.7,400.0
401,521.0,604.4,541.0,435.5,360.0
402,485.1,571.7,453.1,653.0,560.0
403,394.6,594.7,549.2,439.0,340.0
404,619.3,612.6,579.3,591.3,660.0
405,538.9,427.8,473.2,521.9,300.0
406,560.8,574.9,485.9,543.3,320.0
407,468.0,594.4,468.7,423.7,360.0
408,688.2,721.9,700.4,743.4,900.0
409,425.1,424.7,394.4,463.5,300.0
410,391.3,624.5,548.8,415.2,340.0
411,554.9,669.7,642.0,750.6,940.0
412,535.0,621.0,593.3,583.1,480.0
413,475.2,622.0,565.9,465.3,360.0
414,569.8,598.6,559.5,507.5,440.0
415,594.7,657.6,606.7,475.6,480.0
416,542.9,577.9,562.8,441.9,520.0
417,659.4,711.0,637.8,756.8,900.0
418,403.2,515.4,458.5,445.4,320.0
419,505.8,551.3,390.1,421.2,280.0
420,432.3,527.0,437.4,463.0,560.0
421,402.2,551.4,508.1,492.7,340.0
422,438.3,614.5,420.6,561.9,520.0
423,485.5,616.8,504.1,502.5,560.0
424,571.8,637.0,577.1,557.4,620.0
425,627.8,631.7,622.4,668.5,880.0
426,522.3,641.6,611.0,653.7,640.0
427,561.6,609.7,557.5,505.1,480.0
428,434.6,611.5,551.9,535.2,660.0
429,456.5,567.0,500.5,500.1,520.0
430,557.9,642.7,561.8,709.0,680.0
431,451.4,558.5,478.5,618.9,480.0
432,428.6,542.5,459.8,649.5,420.0
433,429.1,443.5,448.0,445.0,280.0
434,446.8,480.3,448.2,588.7,320.0
435,430.6,494.6,497.3,435.7,600.0
436,525.3,503.5,532.0,509.1,480.0
437,538.0,639.9,597.1,435.6,560.0
438,443.0,642.3,593.3,632.4,740.0
439,626.1,655.9,549.5,639.2,680.0
440,414.8,415.0,480.8,519.7,520.0
441,445.5,534.4,488.6,540.9,340.0
442,537.6,642.1,543.7,678.3,560.0
443,426.9,463.2,442.3,441.5,400.0
444,508.3,587.5,579.3,599.5,520.0
445,493.8,576.5,580.1,485.4,480.0
446,514.7,519.8,492.3,466.7,380.0
447,595.6,633.7,566.7,637.4,580.0
448,511.1,551.9,432.2,476.4,560.0
449,508.2,617.9,514.8,546.1,640.0
450,417.6,588.8,409.0,477.0,480.0
451,539.4,515.2,510.5,540.5,400.0
452,410.9,619.1,348.9,554.9,0.0
453,501.9,528.7,471.2,665.0,380.0
454,607.3,675.2,607.8,805.2,840.0
455,408.5,420.0,373.4,399.8,520.0
456,440.3,552.1,443.3,580.6,260.0
457,511.2,647.2,625.6,632.9,700.0
458,453.3,612.5,576.9,474.6,560.0
459,413.9,592.4,531.8,474.0,560.0
460,503.4,569.1,532.6,589.7,360.0
461,530.7,600.2,529.7,559.3,540.0
462,391.2,480.9,451.2,433.8,540.0
463,469.2,532.0,482.4,493.4,300.0
464,478.7,619.5,544.0,380.6,300.0
465,490.1,584.6,520.0,558.5,540.0
466,599.3,627.7,485.8,601.7,600.0
467,562.2,626.9,521.7,670.0,720.0
468,388.9,403.1,439.1,395.6,360.0
469,401.4,568.2,514.0,463.8,320.0
470,475.2,547.4,578.1,482.3,320.0
471,444.8,591.5,495.2,458.7,500.0
472,563.2,583.6,602.9,635.8,700.0
473,570.8,651.0,597.5,457.4,580.0
474,458.4,642.2,568.5,496.8,500.0
475,449.8,485.6,519.0,511.8,360.0
476,493.6,522.3,538.4,503.6,580.0
477,402.3,494.9,482.8,393.0,320.0
478,446.3,600.5,583.9,561.8,520.0
479,467.7,467.0,410.3,478.6,340.0
480,606.8,568.8,505.8,516.8,600.0
481,463.5,458.2,424.9,433.2,280.0
482,540.2,476.2,468.9,607.9,660.0
483,544.8,560.9,544.4,535.2,560.0
484,544.6,578.4,559.8,512.0,680.0
485,598.5,573.4,504.4,508.7,400.0
486,474.6,615.9,564.6,641.6,740.0
487,473.6,487.4,569.4,501.2,640.0
488,627.1,655.3,626.1,756.2,780.0
489,504.9,645.7,592.7,531.7,640.0
490,438.0,609.7,560.2,587.3,740.0
491,609.6,462.3,596.7,458.2,360.0
492,476.0,471.9,514.3,476.2,280.0
493,463.0,578.3,524.2,518.6,340.0
494,430.2,465.3,528.4,506.0,620.0
495,404.3,573.5,368.7,476.2,340.0
496,572.2,644.1,639.7,704.8,800.0
497,388.8,645.8,447.7,677.0,480.0
498,618.3,674.2,631.2,688.7,760.0
499,549.3,494.6,541.3,663.5,560.0
500,511.5,636.7,580.1,451.8,560.0
501,474.7,511.5,559.6,478.5,640.0
502,497.0,491.6,444.2,414.5,240.0
503,461.0,557.0,549.4,472.3,640.0
504,460.2,616.3,625.0,416.5,620.0
505,504.8,532.1,448.7,530.8,480.0
506,536.6,645.9,555.5,576.8,680.0
507,522.7,651.2,603.9,613.9,600.0
508,650.5,694.3,657.8,823.5,960.0
509,406.0,517.3,466.1,402.2,320.0
510,610.2,633.9,545.2,533.5,720.0
511,691.7,762.7,689.7,813.4,920.0
512,449.9,527.1,419.8,527.5,320.0
513,484.0,599.3,512.1,607.8,300.0
514,588.6,627.2,584.0,615.6,640.0
515,601.8,642.8,567.7,626.0,640.0
516,420.5,451.0,477.5,410.0,360.0
517,466.2,469.5,503.4,527.9,480.0
518,520.4,621.5,558.0,493.4,660.0
519,476.2,503.5,459.2,613.7,580.0
520,391.1,595.3,427.4,513.0,280.0
521,415.6,574.0,481.2,425.9,560.0
522,508.6,554.3,589.0,649.4,760.0
523,448.2,402.8,369.8,444.3,260.0
524,491.0,602.2,537.1,538.3,520.0
525,500.0,599.3,445.0,424.2,600.0
526,585.3,714.6,682.4,709.1,780.0
527,488.9,630.5,505.6,549.4,640.0
528,426.2,616.0,524.7,444.4,620.0
529,439.7,543.9,454.8,455.7,400.0
530,411.5,522.6,455.7,446.7,360.0
531,558.5,614.0,529.4,467.1,580.0
532,627.1,693.3,591.9,732.8,920.0
533,546.1,659.7,643.1,640.7,600.0
534,494.6,640.5,620.8,664.8,400.0
535,465.0,558.8,565.3,489.1,620.0
536,426.8,526.4,466.5,409.3,320.0
537,468.8,418.2,483.8,443.1,420.0
538,440.5,557.9,563.2,447.1,340.0
539,430.7,434.3,495.7,531.9,360.0
540,492.9,654.3,624.8,595.4,720.0
541,652.9,728.0,677.7,799.8,940.0
542,507.5,553.9,567.9,651.0,560.0
543,660.8,680.5,596.2,779.1,820.0
544,403.8,582.8,580.3,455.0,620.0
545,471.8,434.4,491.4,424.0,300.0
546,580.2,619.7,627.3,488.3,0.0
547,542.9,407.6,431.7,558.5,300.0
548,564.1,655.1,619.3,648.7,640.0
549,408.4,571.3,504.9,569.2,580.0
550,420.8,600.7,551.1,530.0,720.0
551,564.5,698.5,460.2,644.4,620.0
552,474.0,548.8,458.8,508.5,580.0
553,616.8,650.9,634.4,735.0,620.0
554,598.2,652.5,624.4,466.8,520.0
555,558.6,664.0,580.1,704.5,600.0
556,487.8,583.3,446.6,521.4,520.0
557,459.4,651.5,613.6,684.2,540.0
558,437.1,484.6,413.3,477.8,380.0
559,503.9,525.8,535.7,477.5,320.0
560,424.6,433.9,428.8,436.7,560.0
561,602.6,661.3,678.7,745.5,640.0
562,477.5,592.8,543.6,411.7,560.0
563,428.6,575.1,484.5,495.6,360.0
564,518.2,499.2,568.0,630.0,540.0
565,562.9,609.5,576.9,545.9,340.0
566,504.0,474.3,552.0,520.0,680.0
567,434.3,594.8,531.4,489.1,620.0
568,743.6,718.3,641.3,738.7,940.0
569,421.8,627.3,543.3,534.1,740.0
570,458.8,563.5,476.7,415.4,340.0
571,493.7,661.0,616.4,688.2,520.0
572,524.1,682.0,574.4,579.2,840.0
573,379.9,473.4,442.3,487.9,500.0
574,448.6,627.7,471.4,567.6,380.0
575,515.4,611.5,529.1,526.4,480.0
576,503.5,655.8,604.0,599.5,600.0
577,574.5,621.6,573.4,669.3,720.0
578,466.8,593.3,596.4,526.9,580.0
579,708.0,710.1,640.6,834.9,900.0
580,413.9,443.3,558.6,603.1,480.0
581,478.0,547.3,502.1,452.5,440.0
582,541.5,631.7,589.1,708.3,600.0
583,541.8,535.1,561.4,520.3,860.0
584,593.7,665.4,657.8,685.9,620.0
585,562.9,650.8,579.0,597.4,840.0
586,653.4,682.3,607.0,680.7,820.0
587,432.1,457.5,516.5,447.0,400.0
588,474.0,556.1,478.2,446.4,400.0
589,465.4,642.9,563.4,498.4,600.0
590,658.7,699.4,643.3,641.7,800.0
591,608.5,680.7,620.6,636.8,520.0
592,492.9,543.4,419.3,615.1,360.0
593,428.9,520.4,439.1,390.2,540.0
594,393.3,510.1,510.3,524.5,380.0
595,500.4,451.3,496.8,535.1,500.0
596,550.3,631.7,532.5,465.5,840.0
597,534.6,606.9,550.5,581.5,380.0
598,575.0,641.6,614.9,643.1,600.0
599,529.0,656.1,596.8,644.9,720.0
600,470.9,578.0,523.2,604.3,700.0
601,433.6,486.8,455.3,544.2,220.0
602,442.3,448.5,458.9,383.8,560.0
603,424.2,602.6,564.2,513.9,580.0
604,469.2,584.6,422.7,380.9,340.0
605,516.1,552.0,412.6,451.5,300.0
606,466.8,631.8,524.3,506.8,380.0
607,409.9,458.2,446.8,435.1,340.0
608,498.9,617.4,485.8,522.4,780.0
609,554.8,658.0,623.4,708.1,580.0
610,536.0,601.3,548.7,737.8,660.0
611,593.8,512.0,570.7,543.9,600.0
612,444.9,467.3,459.3,386.3,340.0
613,444.2,538.2,560.6,566.9,480.0
614,377.5,494.7,531.5,598.2,500.0
615,489.3,595.2,519.8,582.0,560.0
616,640.4,673.3,672.5,681.7,760.0
617,589.8,623.7,551.9,445.3,620.0
618,436.3,433.8,440.7,538.1,680.0
619,373.8,458.0,455.8,477.0,520.0
620,380.5,423.7,486.0,536.3,300.0
621,431.1,532.6,480.8,475.0,440.0
622,439.9,532.8,372.3,488.2,0.0
623,452.8,580.4,565.0,548.0,700.0
624,399.9,527.3,457.3,516.0,360.0
625,543.6,598.7,571.1,651.9,540.0
626,435.3,464.3,478.6,377.3,360.0
627,428.4,631.9,570.0,567.3,520.0
628,464.9,609.9,470.6,394.4,320.0
629,503.9,587.0,518.4,373.1,480.0
